
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-03-29


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1263,1262,1261,1260,1259,1258,1256,1247,1245,1243,1240,1239,1237,1236,1235,1234,1233,1232,1230,1228,1227,1219,1215,1214,1213,1212,1211,1210,1209,1208,1207,1206,1204,1200,1199,1196,1195,1190,1189,1187,1186,1094,1091,1088,1087,1083,1082,1080,1077,1076,1074,1072,1070,1062,1057,1053,1049,1048,1042,1041,1039,1035,1034,1033,1032,1031,1026,1024,1020,1019,1018,1017,1016,1015,1007,1006,1005,1003,1001,999,998,997,996,995,993,992,991,990,989,988,987,985,984,981,978,976,975,974,971
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
42, SRSS, 1048, -, 1.0, -, 6.6, 15.7, 4.6, "Northridge-01", 1994, "Northridge - 17645 Saticoy St", 6.69, Reverse, 0.0, 12.09, 280.86, 0.1625, 1.0, RSN1048_NORTHR_STC090.AT2, RSN1048_NORTHR_STC180.AT2 ,  -----   
43, SRSS, 1049, -, 1.0, -, 6.0, 10.3, 1.9, "Northridge-01", 1994, "Pacific Palisades - Sunset", 6.69, Reverse, 13.34, 24.08, 191.06, 0.1625, 1.0, RSN1049_NORTHR_SUN190.AT2, RSN1049_NORTHR_SUN280.AT2 , RSN1049_NORTHR_SUN-UP.AT2  
44, SRSS, 1053, -, 1.0, -, 9.5, 18.0, 0.1, "Northridge-01", 1994, "Palmdale - Hwy 14 & Palmdale", 6.69, Reverse, 41.37, 41.67, 551.56, 0.2, 1.0, RSN1053_NORTHR_PHP000.AT2, RSN1053_NORTHR_PHP270.AT2 , RSN1053_NORTHR_PHP-UP.AT2  
45, SRSS, 1057, -, 1.0, -, 14.8, 29.7, 0.3, "Northridge-01", 1994, "Playa Del Rey - Saran", 6.69, Reverse, 24.42, 31.74, 345.72, 0.15, 1.0, RSN1057_NORTHR_SAR000.AT2, RSN1057_NORTHR_SAR270.AT2 , RSN1057_NORTHR_SAR-UP.AT2  
46, SRSS, 1062, -, 1.0, -, 6.6, 13.1, 0.2, "Northridge-01", 1994, "Rancho Palos Verdes - Luconia", 6.69, Reverse, 50.47, 54.45, 508.83, 0.375, 1.0, RSN1062_NORTHR_LUC005.AT2, RSN1062_NORTHR_LUC095.AT2 , RSN1062_NORTHR_LUC-UP.AT2  
47, SRSS, 1070, -, 1.0, -, 7.3, 14.4, 0.5, "Northridge-01", 1994, "San Gabriel - E Grand Ave", 6.69, Reverse, 38.86, 39.31, 401.37, 0.1625, 1.0, RSN1070_NORTHR_GRN180.AT2, RSN1070_NORTHR_GRN270.AT2 , RSN1070_NORTHR_GRN-UP.AT2  
48, SRSS, 1072, -, 1.0, -, 5.7, 12.4, 0.3, "Northridge-01", 1994, "San Marino - SW Academy", 6.69, Reverse, 34.55, 35.02, 379.43, 0.6, 1.0, RSN1072_NORTHR_SMA090.AT2, RSN1072_NORTHR_SMA360.AT2 , RSN1072_NORTHR_SMA-UP.AT2  
49, SRSS, 1074, -, 1.0, -, 7.4, 15.9, 0.1, "Northridge-01", 1994, "Sandberg - Bald Mtn", 6.69, Reverse, 41.26, 41.56, 421.0, 0.12, 1.0, RSN1074_NORTHR_SAN090.AT2, RSN1074_NORTHR_SAN180.AT2 , RSN1074_NORTHR_SAN-UP.AT2  
50, SRSS, 1076, -, 1.0, -, 7.5, 14.8, 0.4, "Northridge-01", 1994, "Santa Fe Springs - E.Joslin", 6.69, Reverse, 48.06, 50.22, 339.06, 0.125, 1.0, RSN1076_NORTHR_EJS030.AT2, RSN1076_NORTHR_EJS120.AT2 , RSN1076_NORTHR_EJS-UP.AT2  
51, SRSS, 1077, -, 1.0, -, 6.9, 10.7, 2.8, "Northridge-01", 1994, "Santa Monica City Hall", 6.69, Reverse, 17.28, 26.45, 336.2, 0.14, 1.0, RSN1077_NORTHR_STM090.AT2, RSN1077_NORTHR_STM360.AT2 , RSN1077_NORTHR_STM-UP.AT2  
