
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-03-29


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1605,1588,1586,1582,1581,1575,1574,1557,1554,1553,1552,1544,1543,1542,1539,1538,1526,1525,1524,1523,1521,1518,1517,1514,1513,1512,1509,1508,1507,1487,1485,1484,1481,1479,1478,1477,1476,1475,1472,1471,1380,1350,1347,1304,1303,1302,1301,1300,1297,1296,1295,1294,1293,1291,1290,1289,1288,1287,1286,1285,1284,1283,1282,1281,1280,1279,1278,1277,1276,1275,1274,1271,1270,1269,1268,1267,1266,1265,1264,1263,1262,1261,1260,1259,1258,1256,1247,1245,1243,1240,1239,1237,1236,1235,1234,1233,1232,1230,1228,1227,1219,1215,1214,1213,1212,1211,1210,1209,1208,1207,1206,1204,1200,1199,1196,1195,1190,1189,1187,1186,1094,1091,1088,1087,1083,1082,1080,1077,1076,1074,1072,1070,1062,1057,1053,1049,1048,1042,1041,1039,1035,1034,1033,1032,1031,1026,1024,1020,1019,1018,1017,1016,1015,1007,1006,1005,1003,1001,999,998,997,996,995,993,992,991,990,989,988,987,985,984,981,978,976,975,974,971,970,968,967,966,965,964,963,962,961,960,959,957,956,954,953,952,951,950,948,945,942,718,705,704,703,701,700,699,698,697,696,695,694,692,691,690,688,683,673,672,671,670,667,666,665,664,663,661,656,655,654,650,649,648,646,645,641,640,639,638,637,636,635,634,633,632,629,628,627,626,625,624,622,621,620,618,617,616,614,613,612,611,608,607,605,604,602,599,598,597,596,594,593,592,591,590,589,546,545,544,543
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
31, SRSS, 625, -, 1.0, -, 1.9, 11.2, 0.5, "Whittier Narrows-01", 1987, "Inglewood - Union Oil", 5.99, Reverse Oblique, 21.41, 25.86, 316.02, 0.175, 1.0, RSN625_WHITTIER.A_A-ING000.AT2, RSN625_WHITTIER.A_A-ING090.AT2 , RSN625_WHITTIER.A_A-ING-UP.AT2  
32, SRSS, 626, -, 1.0, -, 1.8, 9.5, 0.9, "Whittier Narrows-01", 1987, "LA - 116th St School", 5.99, Reverse Oblique, 18.23, 23.29, 301.0, 0.1625, 1.0, RSN626_WHITTIER.A_A-116270.AT2, RSN626_WHITTIER.A_A-116360.AT2 , RSN626_WHITTIER.A_A-116-UP.AT2  
33, SRSS, 627, -, 1.0, -, 3.9, 14.4, 0.3, "Whittier Narrows-01", 1987, "LA - Baldwin Hills", 5.99, Reverse Oblique, 21.51, 25.94, 297.07, 0.2875, 1.0, RSN627_WHITTIER.A_A-BLD000.AT2, RSN627_WHITTIER.A_A-BLD090.AT2 , RSN627_WHITTIER.A_A-BLD-UP.AT2  
34, SRSS, 628, -, 1.0, -, 7.4, 14.6, 0.1, "Whittier Narrows-01", 1987, "LA - Centinela St", 5.99, Reverse Oblique, 28.0, 31.53, 321.91, 0.22, 1.0, RSN628_WHITTIER.A_A-CEN155.AT2, RSN628_WHITTIER.A_A-CEN245.AT2 , RSN628_WHITTIER.A_A-CEN-UP.AT2  
35, SRSS, 629, -, 1.0, -, 6.3, 17.0, 0.2, "Whittier Narrows-01", 1987, "LA - Century City CC North", 5.99, Reverse Oblique, 26.14, 29.89, 277.98, 0.2875, 1.0, RSN629_WHITTIER.A_A-CCN000.AT2, RSN629_WHITTIER.A_A-CCN090.AT2 , RSN629_WHITTIER.A_A-CCN-UP.AT2  
36, SRSS, 632, -, 1.0, -, 3.1, 9.7, 0.2, "Whittier Narrows-01", 1987, "LA - Cypress Ave", 5.99, Reverse Oblique, 8.56, 16.97, 366.71, 0.3, 1.0, RSN632_WHITTIER.A_A-CYP053.AT2, RSN632_WHITTIER.A_A-CYP143.AT2 , RSN632_WHITTIER.A_A-CYP-UP.AT2  
37, SRSS, 633, -, 1.0, -, 5.6, 11.8, 0.2, "Whittier Narrows-01", 1987, "LA - E Vernon Ave", 5.99, Reverse Oblique, 10.5, 17.91, 283.14, 0.14, 1.0, RSN633_WHITTIER.A_A-VER083.AT2, RSN633_WHITTIER.A_A-VER173.AT2 , RSN633_WHITTIER.A_A-VER-UP.AT2  
38, SRSS, 634, -, 1.0, -, 2.9, 7.6, 0.4, "Whittier Narrows-01", 1987, "LA - Fletcher Dr", 5.99, Reverse Oblique, 11.07, 18.86, 329.06, 0.33, 1.0, RSN634_WHITTIER.A_A-FLE144.AT2, RSN634_WHITTIER.A_A-FLE234.AT2 , RSN634_WHITTIER.A_A-FLE-UP.AT2  
39, SRSS, 635, -, 1.0, -, 6.4, 13.6, 0.3, "Whittier Narrows-01", 1987, "LA - Hollywood Stor FF", 5.99, Reverse Oblique, 19.22, 24.08, 316.46, 0.4125, 1.0, RSN635_WHITTIER.A_A-PEL000.AT2, RSN635_WHITTIER.A_A-PEL090.AT2 , RSN635_WHITTIER.A_A-PEL-UP.AT2  
40, SRSS, 636, -, 1.0, -, 4.5, 10.8, 0.0, "Whittier Narrows-01", 1987, "LA - N Faring Rd", 5.99, Reverse Oblique, 27.94, 31.48, 255.0, 0.33, 1.0, RSN636_WHITTIER.A_A-FAR000.AT2, RSN636_WHITTIER.A_A-FAR090.AT2 , RSN636_WHITTIER.A_A-FAR-UP.AT2  
41, SRSS, 637, -, 1.0, -, 3.4, 8.6, 0.4, "Whittier Narrows-01", 1987, "LA - N Figueroa St", 5.99, Reverse Oblique, 6.0, 16.53, 364.91, 0.4, 1.0, RSN637_WHITTIER.A_A-FIG058.AT2, RSN637_WHITTIER.A_A-FIG328.AT2 , RSN637_WHITTIER.A_A-FIG-UP.AT2  
42, SRSS, 638, -, 1.0, -, 2.8, 8.6, 0.5, "Whittier Narrows-01", 1987, "LA - N Westmoreland", 5.99, Reverse Oblique, 15.34, 21.11, 315.06, 0.0, 1.0, RSN638_WHITTIER.A_A-WST000.AT2, RSN638_WHITTIER.A_A-WST270.AT2 , RSN638_WHITTIER.A_A-WST-UP.AT2  
