
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-03-29


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1605,1588,1586,1582,1581,1575,1574,1557,1554,1553,1552,1544,1543,1542,1539,1538,1526,1525,1524,1523,1521,1518,1517,1514,1513,1512,1509,1508,1507,1487,1485,1484,1481,1479,1478,1477,1476,1475,1472,1471,1380,1350,1347,1304,1303,1302,1301,1300,1297,1296,1295,1294,1293,1291,1290,1289,1288,1287,1286,1285,1284,1283,1282,1281,1280,1279,1278,1277,1276,1275,1274,1271,1270,1269,1268,1267,1266,1265,1264,1263,1262,1261,1260,1259,1258,1256,1247,1245,1243,1240,1239,1237,1236,1235,1234,1233,1232,1230,1228,1227,1219,1215,1214,1213,1212,1211,1210,1209,1208,1207,1206,1204,1200,1199,1196,1195,1190,1189,1187,1186,1094,1091,1088,1087,1083,1082,1080,1077,1076,1074,1072,1070,1062,1057,1053,1049,1048,1042,1041,1039,1035,1034,1033,1032,1031,1026,1024,1020,1019,1018,1017,1016,1015,1007,1006,1005,1003,1001,999,998,997,996,995,993,992,991,990,989,988,987,985,984,981,978,976,975,974,971,970,968,967,966,965,964,963,962,961,960,959,957,956,954,953,952,951,950,948,945,942,718,705,704,703,701,700,699,698,697,696,695,694,692,691,690,688,683,673,672,671,670,667,666,665,664,663,661,656,655,654,650,649,648,646,645,641,640,639,638,637,636,635,634,633,632,629,628,627,626,625,624,622,621,620,618,617,616,614,613,612,611,608,607,605,604,602,599,598,597,596,594,593,592,591,590,589,546,545,544,543
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
10.0,0.00150984,0.005191,0.00043915,0.00034643,0.00185948,0.0019274,0.0005575,0.00138987,0.00077393,0.00022697,0.00241077,0.00043149,0.00168825,0.00042016,0.00048475,0.00023121,0.00090475,0.00075459,0.00050812,0.00044416,0.000823,0.00104566,0.00252465,0.00186254,0.00130183,0.00439203,0.00243307,0.00020323,0.00020092,0.00060201,0.00105996,0.00116867,0.00081982,0.00199118,0.00203653,0.00087257,0.00045725,0.00039498,0.00073494,0.00188358,0.00144474,0.00069236,0.00051657,0.00105701,0.00336588,0.00173183,0.00079305,0.00042868,0.00330405,0.00153468,0.00066132,0.00219915,0.00057979,0.0004617,0.00010852,8.682e-05,0.00023185,0.00033111,0.00068609,0.00032428,0.00031544,0.00054658,0.00016248,0.0010665,0.00057849,0.00054121,0.00097729,0.0001276,0.00255337,0.00148421,0.00419604,0.00086275,0.00068422,0.00028764,0.00036982,0.00053808,0.00033026,0.00107621,0.00066945,8.345e-05,0.00035078,0.00163303,0.00365645,0.00128412,0.00085756,0.00114678,0.00110571,0.00182813,0.00318476,0.00945948,0.00106021,0.00214185,0.00221256,0.00934889,0.00931554,0.00111926,0.00233752,0.00963764,0.0030081,0.00116128,0.00100146,0.00097521,0.00132101,0.00318805
11.0,0.00121184,0.00418251,0.00035112,0.00026956,0.00148625,0.00142968,0.00044158,0.00113386,0.00062653,0.00018852,0.00179341,0.00036369,0.00137301,0.00031189,0.00039347,0.00018657,0.0007336,0.00061875,0.00041362,0.00034978,0.00060331,0.00084282,0.00203401,0.00151874,0.00105796,0.00350281,0.00197653,0.00016669,0.00015985,0.00049372,0.00074475,0.00095427,0.0006431,0.00155568,0.00167057,0.00071311,0.00036021,0.00032587,0.00059792,0.00151098,0.00118721,0.00057229,0.00038342,0.00086059,0.00340069,0.00140354,0.00061124,0.00034919,0.00267467,0.0012207,0.00054225,0.0017269,0.00049092,0.00038292,8.968e-05,7.141e-05,0.00019504,0.0002647,0.00055717,0.00026718,0.00025054,0.00043556,0.00013065,0.000748,0.00047357,0.00044623,0.00080305,9.783e-05,0.00205055,0.00120321,0.0033633,0.00071199,0.00056572,0.00023588,0.00030483,0.00043366,0.0002721,0.0008721,0.00052506,7.13e-05,0.00027472,0.00129079,0.00282739,0.00102131,0.0007044,0.00092363,0.00079051,0.00167115,0.00254455,0.00731477,0.00084808,0.00167914,0.00161357,0.0072625,0.00767116,0.00099823,0.00182238,0.00802826,0.00254417,0.00084717,0.00080728,0.00077684,0.0010741,0.00226593
12.0,0.00099986,0.00345668,0.00028921,0.00020442,0.00130576,0.00110418,0.00032975,0.00094399,0.0005167,0.00015857,0.00130676,0.00030621,0.00113013,0.00024904,0.00032628,0.00015401,0.00060803,0.00051749,0.0003435,0.00028378,0.00046051,0.00069566,0.00167439,0.00118605,0.00088797,0.00287184,0.00163173,0.00013931,0.00013256,0.00041245,0.00055714,0.00079226,0.00050165,0.00138722,0.00139271,0.0005929,0.00028961,0.00027779,0.00049613,0.0011945,0.00099075,0.0004804,0.00030052,0.00071415,0.00360041,0.00116824,0.00049433,0.0002899,0.00220524,0.0010268,0.0004534,0.00127504,0.00039395,0.00032178,7.394e-05,5.901e-05,0.00016587,0.00021593,0.00046151,0.00022286,0.00020468,0.00038474,0.00010658,0.0005871,0.00039497,0.00037111,0.00061663,8.654e-05,0.00167594,0.00099467,0.0027522,0.00059663,0.00047516,0.00019688,0.00025331,0.0003563,0.00022747,0.00074802,0.00040968,6.094e-05,0.00022459,0.00104032,0.00234709,0.00081929,0.0005864,0.00077567,0.00057505,0.00129261,0.00207757,0.00588804,0.00069141,0.00149927,0.0013172,0.00575862,0.00639048,0.00087171,0.00164769,0.006634,0.00171913,0.00065255,0.00068091,0.00068216,0.00088973,0.00214771
13.0,0.00084241,0.00293515,0.00024178,0.00018425,0.0011537,0.00084664,0.00027705,0.00079808,0.00043302,0.00013491,0.00100832,0.00025858,0.00093954,0.00020647,0.00027545,0.00012957,0.00051293,0.00043975,0.00029016,0.00023515,0.00036566,0.00058566,0.00140324,0.0009543,0.00072645,0.00239163,0.00136648,0.00011827,0.00011583,0.00035109,0.0004167,0.00066752,0.00039476,0.00125446,0.00117765,0.00050033,0.00024446,0.00023818,0.00041844,0.00094585,0.00083814,0.00040866,0.00025425,0.00060217,0.00379808,0.00099052,0.00041479,0.00024444,0.00184717,0.00087559,0.00038521,0.00104554,0.00031517,0.00027361,6.125e-05,4.933e-05,0.0001424,0.00017926,0.00038874,0.00018806,0.0001716,0.00031831,8.822e-05,0.00046237,0.00033467,0.00031114,0.00051484,7.929e-05,0.00139181,0.00083593,0.00229215,0.00050679,0.00040443,0.00016679,0.00021274,0.00030605,0.00019274,0.00064588,0.00033285,5.222e-05,0.00018726,0.00085326,0.00198548,0.00068245,0.00049175,0.00066527,0.0005391,0.00103283,0.00172745,0.00494124,0.00057325,0.00132162,0.00113689,0.00466414,0.00538491,0.00070889,0.00122735,0.00551296,0.00134389,0.0005774,0.00058822,0.00058394,0.00075034,0.00191996
14.0,0.00071673,0.00251647,0.00020414,0.0001679,0.00098857,0.00071664,0.00023507,0.00068361,0.00036799,0.00011599,0.00080822,0.00021975,0.00078884,0.00017015,0.00023603,0.00011076,0.00043903,0.00037862,0.00024866,0.0001984,0.00030608,0.00050102,0.00119376,0.00075341,0.00060239,0.00202039,0.00115926,0.00010173,0.00010456,0.0003029,0.00032133,0.00056971,0.00031591,0.00114954,0.00100825,0.0004277,0.00020996,0.00020557,0.00035779,0.00075652,0.0007176,0.00035167,0.00021647,0.00051468,0.00356533,0.00085027,0.00035717,0.00020881,0.00156857,0.00074821,0.00033162,0.00086958,0.00026617,0.00023524,5.124e-05,4.169e-05,0.00012331,0.00015671,0.00033214,0.00016047,0.00014852,0.00027417,7.405e-05,0.00038949,0.0002874,0.00026771,0.00044568,7.182e-05,0.00117242,0.00071242,0.00193792,0.00043566,0.0003482,0.00014311,0.00018068,0.00026403,0.00016583,0.00056131,0.00028118,4.496e-05,0.0001571,0.00076543,0.00167896,0.00058903,0.00041504,0.00056899,0.00047606,0.00082237,0.00151896,0.00431203,0.00048237,0.00111744,0.00097277,0.00385636,0.00458757,0.00056277,0.00107748,0.00461554,0.00100944,0.00050915,0.00051231,0.00049335,0.00064323,0.00153041
15.0,0.00061221,0.0021493,0.00017438,0.00014769,0.00083589,0.00062694,0.00019103,0.00059217,0.00031651,0.00010067,0.00064524,0.00018832,0.00066907,0.00014156,0.00020478,9.593e-05,0.00038035,0.00032961,0.00021571,0.00016996,0.00026278,0.00043419,0.00102851,0.00067578,0.00050197,0.00172767,0.00099494,8.849e-05,9.465e-05,0.00026396,0.00025209,0.00049176,0.00025785,0.00098505,0.00087266,0.00036973,0.0001818,0.00017868,0.00030952,0.00061371,0.00062095,0.00030571,0.0001857,0.00044504,0.00297714,0.00073775,0.00031304,0.00018037,0.00134794,0.00065278,0.00028867,0.0007323,0.00022395,0.00020433,4.339e-05,3.596e-05,0.00010762,0.00013803,0.00028725,0.00013838,0.0001295,0.0002329,6.295e-05,0.00033332,0.00024964,0.0002352,0.00038952,6.302e-05,0.00100014,0.00061447,0.00165975,0.00037848,0.0003028,0.00012413,0.00015514,0.00022905,0.00014487,0.00049116,0.000232,3.892e-05,0.00013226,0.00065055,0.00142217,0.00051931,0.00035385,0.00048524,0.00041375,0.00067459,0.00134632,0.00378292,0.0004112,0.00091776,0.00083176,0.00327168,0.00394771,0.00045736,0.00092342,0.00390028,0.00077085,0.00044208,0.00044708,0.00043398,0.00055911,0.00126791
20.0,0.00032177,0.00110206,9.395e-05,8.171e-05,0.00038876,0.00035769,0.0001075,0.00032971,0.0001705,5.553e-05,0.0003037,0.0001,0.00034883,7.733e-05,0.00011493,5.359e-05,0.00021118,0.00018567,0.00012081,9.18e-05,0.00014211,0.00024159,0.00055973,0.00038897,0.00025029,0.0009133,0.00052997,4.974e-05,5.395e-05,0.00014853,0.00012886,0.00026779,0.00012089,0.00039636,0.00047954,0.00020249,9.837e-05,9.803e-05,0.00017037,0.00027023,0.00034034,0.0001704,9.659e-05,0.00024445,0.00127997,0.00040927,0.00018386,9.833e-05,0.00072214,0.00037233,0.00016263,0.00036392,0.00010911,0.00011398,2.519e-05,2.027e-05,6.019e-05,7.81e-05,0.0001585,7.584e-05,7.37e-05,0.00013486,3.348e-05,0.00017631,0.00013969,0.00013699,0.00022278,3.097e-05,0.00052177,0.00033466,0.00088193,0.00021107,0.00016885,6.885e-05,8.294e-05,0.00012314,8.225e-05,0.00027683,0.0001195,2.183e-05,6.306e-05,0.00033514,0.0007425,0.00029416,0.00019617,0.00026789,0.000254,0.0003474,0.00078369,0.00212377,0.0002209,0.00037044,0.00041511,0.00167167,0.0021063,0.00025375,0.00040259,0.00193042,0.00044811,0.00024123,0.00024046,0.00024966,0.00031654,0.00068526

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-543 Horizontal-1 pSa (g),RSN-543 Horizontal-2 pSa (g),RSN-543 Vertical pSa (g),RSN-544 Horizontal-1 pSa (g),RSN-544 Horizontal-2 pSa (g),RSN-544 Vertical pSa (g),RSN-545 Horizontal-1 pSa (g),RSN-545 Horizontal-2 pSa (g),RSN-545 Vertical pSa (g),RSN-546 Horizontal-1 pSa (g),RSN-546 Horizontal-2 pSa (g),RSN-546 Vertical pSa (g),RSN-589 Horizontal-1 pSa (g),RSN-589 Horizontal-2 pSa (g),RSN-589 Vertical pSa (g),RSN-590 Horizontal-1 pSa (g),RSN-590 Horizontal-2 pSa (g),RSN-590 Vertical pSa (g),RSN-591 Horizontal-1 pSa (g),RSN-591 Horizontal-2 pSa (g),RSN-591 Vertical pSa (g),RSN-592 Horizontal-1 pSa (g),RSN-592 Horizontal-2 pSa (g),RSN-592 Vertical pSa (g),RSN-593 Horizontal-1 pSa (g),RSN-593 Horizontal-2 pSa (g),RSN-593 Vertical pSa (g),RSN-594 Horizontal-1 pSa (g),RSN-594 Horizontal-2 pSa (g),RSN-594 Vertical pSa (g),RSN-596 Horizontal-1 pSa (g),RSN-596 Horizontal-2 pSa (g),RSN-596 Vertical pSa (g),RSN-597 Horizontal-1 pSa (g),RSN-597 Horizontal-2 pSa (g),RSN-597 Vertical pSa (g),RSN-598 Horizontal-1 pSa (g),RSN-598 Horizontal-2 pSa (g),RSN-598 Vertical pSa (g),RSN-599 Horizontal-1 pSa (g),RSN-599 Horizontal-2 pSa (g),RSN-599 Vertical pSa (g),RSN-602 Horizontal-1 pSa (g),RSN-602 Horizontal-2 pSa (g),RSN-602 Vertical pSa (g),RSN-604 Horizontal-1 pSa (g),RSN-604 Horizontal-2 pSa (g),RSN-604 Vertical pSa (g),RSN-605 Horizontal-1 pSa (g),RSN-605 Horizontal-2 pSa (g),RSN-605 Vertical pSa (g),RSN-607 Horizontal-1 pSa (g),RSN-607 Horizontal-2 pSa (g),RSN-607 Vertical pSa (g),RSN-608 Horizontal-1 pSa (g),RSN-608 Horizontal-2 pSa (g),RSN-608 Vertical pSa (g),RSN-611 Horizontal-1 pSa (g),RSN-611 Horizontal-2 pSa (g),RSN-611 Vertical pSa (g),RSN-612 Horizontal-1 pSa (g),RSN-612 Horizontal-2 pSa (g),RSN-612 Vertical pSa (g),RSN-613 Horizontal-1 pSa (g),RSN-613 Horizontal-2 pSa (g),RSN-613 Vertical pSa (g),RSN-614 Horizontal-1 pSa (g),RSN-614 Horizontal-2 pSa (g),RSN-614 Vertical pSa (g),RSN-616 Horizontal-1 pSa (g),RSN-616 Horizontal-2 pSa (g),RSN-616 Vertical pSa (g),RSN-617 Horizontal-1 pSa (g),RSN-617 Horizontal-2 pSa (g),RSN-617 Vertical pSa (g),RSN-618 Horizontal-1 pSa (g),RSN-618 Horizontal-2 pSa (g),RSN-618 Vertical pSa (g),RSN-620 Horizontal-1 pSa (g),RSN-620 Horizontal-2 pSa (g),RSN-620 Vertical pSa (g),RSN-621 Horizontal-1 pSa (g),RSN-621 Horizontal-2 pSa (g),RSN-621 Vertical pSa (g),RSN-622 Horizontal-1 pSa (g),RSN-622 Horizontal-2 pSa (g),RSN-622 Vertical pSa (g),RSN-624 Horizontal-1 pSa (g),RSN-624 Horizontal-2 pSa (g),RSN-624 Vertical pSa (g),RSN-625 Horizontal-1 pSa (g),RSN-625 Horizontal-2 pSa (g),RSN-625 Vertical pSa (g),RSN-626 Horizontal-1 pSa (g),RSN-626 Horizontal-2 pSa (g),RSN-626 Vertical pSa (g),RSN-627 Horizontal-1 pSa (g),RSN-627 Horizontal-2 pSa (g),RSN-627 Vertical pSa (g),RSN-628 Horizontal-1 pSa (g),RSN-628 Horizontal-2 pSa (g),RSN-628 Vertical pSa (g),RSN-629 Horizontal-1 pSa (g),RSN-629 Horizontal-2 pSa (g),RSN-629 Vertical pSa (g),RSN-632 Horizontal-1 pSa (g),RSN-632 Horizontal-2 pSa (g),RSN-632 Vertical pSa (g),RSN-633 Horizontal-1 pSa (g),RSN-633 Horizontal-2 pSa (g),RSN-633 Vertical pSa (g),RSN-634 Horizontal-1 pSa (g),RSN-634 Horizontal-2 pSa (g),RSN-634 Vertical pSa (g),RSN-635 Horizontal-1 pSa (g),RSN-635 Horizontal-2 pSa (g),RSN-635 Vertical pSa (g),RSN-636 Horizontal-1 pSa (g),RSN-636 Horizontal-2 pSa (g),RSN-636 Vertical pSa (g),RSN-637 Horizontal-1 pSa (g),RSN-637 Horizontal-2 pSa (g),RSN-637 Vertical pSa (g),RSN-638 Horizontal-1 pSa (g),RSN-638 Horizontal-2 pSa (g),RSN-638 Vertical pSa (g),RSN-639 Horizontal-1 pSa (g),RSN-639 Horizontal-2 pSa (g),RSN-639 Vertical pSa (g),RSN-640 Horizontal-1 pSa (g),RSN-640 Horizontal-2 pSa (g),RSN-640 Vertical pSa (g),RSN-641 Horizontal-1 pSa (g),RSN-641 Horizontal-2 pSa (g),RSN-641 Vertical pSa (g),RSN-645 Horizontal-1 pSa (g),RSN-645 Horizontal-2 pSa (g),RSN-645 Vertical pSa (g),RSN-646 Horizontal-1 pSa (g),RSN-646 Horizontal-2 pSa (g),RSN-646 Vertical pSa (g),RSN-648 Horizontal-1 pSa (g),RSN-648 Horizontal-2 pSa (g),RSN-648 Vertical pSa (g),RSN-649 Horizontal-1 pSa (g),RSN-649 Horizontal-2 pSa (g),RSN-649 Vertical pSa (g),RSN-650 Horizontal-1 pSa (g),RSN-650 Horizontal-2 pSa (g),RSN-650 Vertical pSa (g),RSN-654 Horizontal-1 pSa (g),RSN-654 Horizontal-2 pSa (g),RSN-654 Vertical pSa (g),RSN-655 Horizontal-1 pSa (g),RSN-655 Horizontal-2 pSa (g),RSN-655 Vertical pSa (g),RSN-656 Horizontal-1 pSa (g),RSN-656 Horizontal-2 pSa (g),RSN-656 Vertical pSa (g),RSN-661 Horizontal-1 pSa (g),RSN-661 Horizontal-2 pSa (g),RSN-661 Vertical pSa (g),RSN-663 Horizontal-1 pSa (g),RSN-663 Horizontal-2 pSa (g),RSN-663 Vertical pSa (g),RSN-664 Horizontal-1 pSa (g),RSN-664 Horizontal-2 pSa (g),RSN-664 Vertical pSa (g),RSN-665 Horizontal-1 pSa (g),RSN-665 Horizontal-2 pSa (g),RSN-665 Vertical pSa (g),RSN-666 Horizontal-1 pSa (g),RSN-666 Horizontal-2 pSa (g),RSN-666 Vertical pSa (g),RSN-667 Horizontal-1 pSa (g),RSN-667 Horizontal-2 pSa (g),RSN-667 Vertical pSa (g),RSN-670 Horizontal-1 pSa (g),RSN-670 Horizontal-2 pSa (g),RSN-670 Vertical pSa (g),RSN-671 Horizontal-1 pSa (g),RSN-671 Horizontal-2 pSa (g),RSN-671 Vertical pSa (g),RSN-672 Horizontal-1 pSa (g),RSN-672 Horizontal-2 pSa (g),RSN-672 Vertical pSa (g),RSN-673 Horizontal-1 pSa (g),RSN-673 Horizontal-2 pSa (g),RSN-673 Vertical pSa (g),RSN-683 Horizontal-1 pSa (g),RSN-683 Horizontal-2 pSa (g),RSN-683 Vertical pSa (g),RSN-688 Horizontal-1 pSa (g),RSN-688 Horizontal-2 pSa (g),RSN-688 Vertical pSa (g),RSN-690 Horizontal-1 pSa (g),RSN-690 Horizontal-2 pSa (g),RSN-690 Vertical pSa (g),RSN-691 Horizontal-1 pSa (g),RSN-691 Horizontal-2 pSa (g),RSN-691 Vertical pSa (g),RSN-692 Horizontal-1 pSa (g),RSN-692 Horizontal-2 pSa (g),RSN-692 Vertical pSa (g),RSN-694 Horizontal-1 pSa (g),RSN-694 Horizontal-2 pSa (g),RSN-694 Vertical pSa (g),RSN-695 Horizontal-1 pSa (g),RSN-695 Horizontal-2 pSa (g),RSN-695 Vertical pSa (g),RSN-696 Horizontal-1 pSa (g),RSN-696 Horizontal-2 pSa (g),RSN-696 Vertical pSa (g),RSN-697 Horizontal-1 pSa (g),RSN-697 Horizontal-2 pSa (g),RSN-697 Vertical pSa (g),RSN-698 Horizontal-1 pSa (g),RSN-698 Horizontal-2 pSa (g),RSN-698 Vertical pSa (g),RSN-699 Horizontal-1 pSa (g),RSN-699 Horizontal-2 pSa (g),RSN-699 Vertical pSa (g),RSN-700 Horizontal-1 pSa (g),RSN-700 Horizontal-2 pSa (g),RSN-700 Vertical pSa (g),RSN-701 Horizontal-1 pSa (g),RSN-701 Horizontal-2 pSa (g),RSN-701 Vertical pSa (g),RSN-703 Horizontal-1 pSa (g),RSN-703 Horizontal-2 pSa (g),RSN-703 Vertical pSa (g),RSN-704 Horizontal-1 pSa (g),RSN-704 Horizontal-2 pSa (g),RSN-704 Vertical pSa (g),RSN-705 Horizontal-1 pSa (g),RSN-705 Horizontal-2 pSa (g),RSN-705 Vertical pSa (g),RSN-718 Horizontal-1 pSa (g),RSN-718 Horizontal-2 pSa (g),RSN-718 Vertical pSa (g),RSN-942 Horizontal-1 pSa (g),RSN-942 Horizontal-2 pSa (g),RSN-942 Vertical pSa (g),RSN-945 Horizontal-1 pSa (g),RSN-945 Horizontal-2 pSa (g),RSN-945 Vertical pSa (g),RSN-948 Horizontal-1 pSa (g),RSN-948 Horizontal-2 pSa (g),RSN-948 Vertical pSa (g),RSN-950 Horizontal-1 pSa (g),RSN-950 Horizontal-2 pSa (g),RSN-950 Vertical pSa (g),RSN-951 Horizontal-1 pSa (g),RSN-951 Horizontal-2 pSa (g),RSN-951 Vertical pSa (g),RSN-952 Horizontal-1 pSa (g),RSN-952 Horizontal-2 pSa (g),RSN-952 Vertical pSa (g),RSN-953 Horizontal-1 pSa (g),RSN-953 Horizontal-2 pSa (g),RSN-953 Vertical pSa (g),RSN-954 Horizontal-1 pSa (g),RSN-954 Horizontal-2 pSa (g),RSN-954 Vertical pSa (g),RSN-956 Horizontal-1 pSa (g),RSN-956 Horizontal-2 pSa (g),RSN-956 Vertical pSa (g),RSN-957 Horizontal-1 pSa (g),RSN-957 Horizontal-2 pSa (g),RSN-957 Vertical pSa (g),RSN-959 Horizontal-1 pSa (g),RSN-959 Horizontal-2 pSa (g),RSN-959 Vertical pSa (g),RSN-960 Horizontal-1 pSa (g),RSN-960 Horizontal-2 pSa (g),RSN-960 Vertical pSa (g),RSN-961 Horizontal-1 pSa (g),RSN-961 Horizontal-2 pSa (g),RSN-961 Vertical pSa (g),RSN-962 Horizontal-1 pSa (g),RSN-962 Horizontal-2 pSa (g),RSN-962 Vertical pSa (g),RSN-963 Horizontal-1 pSa (g),RSN-963 Horizontal-2 pSa (g),RSN-963 Vertical pSa (g),RSN-964 Horizontal-1 pSa (g),RSN-964 Horizontal-2 pSa (g),RSN-964 Vertical pSa (g),RSN-965 Horizontal-1 pSa (g),RSN-965 Horizontal-2 pSa (g),RSN-965 Vertical pSa (g),RSN-966 Horizontal-1 pSa (g),RSN-966 Horizontal-2 pSa (g),RSN-966 Vertical pSa (g),RSN-967 Horizontal-1 pSa (g),RSN-967 Horizontal-2 pSa (g),RSN-967 Vertical pSa (g),RSN-968 Horizontal-1 pSa (g),RSN-968 Horizontal-2 pSa (g),RSN-968 Vertical pSa (g),RSN-970 Horizontal-1 pSa (g),RSN-970 Horizontal-2 pSa (g),RSN-970 Vertical pSa (g)
0.01,0.05914651,0.05085916,0.0299,0.1259608,0.09839498,0.0521,0.04846098,0.08753514,0.0611,0.05081261,0.03114205,0.0312,0.2933469,0.3882619,0.2,0.308511,0.1672546,0.171,0.05865541,0.05433113,0.0532,0.2933225,0.1766558,0.224,0.09237408,0.08707219,0.0855,0.1338815,0.06422307,0.0938,0.08741203,0.1339724,0.0635,0.09410447,0.1400438,0.0427,0.1278878,0.2077652,0.114,0.1156095,0.0988823,,0.2117196,0.1751687,0.134,0.1277284,0.1137321,0.0511,0.1151526,0.09979472,0.104,0.04030718,0.05771554,0.0366,0.1104409,0.09838489,0.0453,0.3216511,0.3034829,0.17,0.07885335,0.062167,0.0689,0.1358863,0.07781069,0.0959,0.2318782,0.3483345,0.304,0.136077,0.2455803,0.189,0.0789047,0.07774685,0.0463,0.07141878,0.05619235,0.0552,0.3059036,0.1763699,0.162,0.0960129,0.114106,0.0834,0.1867229,0.2141406,0.112,0.04520139,0.04079641,0.0262,0.2546116,0.2271013,0.0702,0.2737328,0.3975579,0.0846,0.1496538,0.159502,0.111,0.06341243,0.04708323,0.0366,0.07142381,0.1025215,0.0383,0.1655125,0.1442897,0.0997,0.1603647,0.1765418,0.0996,0.1797738,0.2233631,0.167,0.2085404,0.1195103,0.0742,0.04939263,0.05953763,0.0344,0.1352586,0.1868254,0.165,0.2217442,0.2081231,0.0811,0.434177,0.4282292,0.137,0.192407,0.1689569,0.115,0.1066376,0.1531781,0.0459,0.22825,0.1574516,0.16,0.1476167,0.2377029,0.0867,0.1364431,0.1504487,0.1,0.175046,0.122448,0.07,0.1427115,0.1230037,0.0839,0.06075392,0.05486128,0.0384,0.05258771,0.0522083,0.0252,0.0334924,0.04844869,0.0228,0.09621575,0.08013675,0.0511,0.1231368,0.1805582,0.122,0.1222213,0.2103441,0.0724,0.04761841,0.05897127,0.0258,0.08687429,0.06146125,0.0322,0.1518965,0.1216714,0.0951,0.06500444,0.03534992,0.0329,0.1583067,0.163157,0.0567,0.1218776,0.1288426,0.0832,0.09714417,0.1100066,0.084,0.2369639,0.2666202,0.107,0.0441511,0.06184901,0.0442,0.2625602,0.2133641,0.261,0.1385305,0.1965735,0.124,0.4696403,0.4583396,0.258,0.2151495,0.2362811,0.0811,0.2042531,0.2335934,0.094,0.0766187,0.0781611,0.0454,0.08970481,0.07333029,0.0691,0.05704277,0.05286268,0.0419,0.05835075,0.04397483,0.032,0.4735462,0.6014819,0.234,0.04333531,0.03905997,0.0208,0.06199445,0.0669737,0.0375,0.04521638,0.08105966,0.0376,0.140714,0.170777,0.159,0.1312192,0.1328879,0.182,0.1023828,0.08013128,0.0469,0.04468091,0.06084802,0.0439,0.09245793,0.1185097,0.06,0.09812546,0.1361225,0.0474,0.1026946,0.06510904,0.053,0.6331553,0.4548726,0.33,0.4477848,0.4963319,0.331,0.1700802,0.2575669,0.182,0.1506955,0.09526527,0.0308,0.1125788,0.1610552,0.0901,0.3683816,0.3937456,0.505,0.4074222,0.4732015,0.309,0.09818698,0.09292186,0.0493,0.09243408,0.09040496,0.0475,0.5711139,0.5189489,0.221,0.09031277,0.1271914,0.0447,0.07511356,0.06784754,0.0584,0.1057776,0.08261514,0.0447,0.1441146,0.1653307,0.0577,0.1607434,0.2326413,0.133,0.1271218,0.159402,0.0627
