,mainshock_aferchock_horizontal1,horizontal_1_filename,dt_sequence_horizontal1,npt_sequence_horizontal1,dt_mainshock_horizontal1,npt_mainshock_horizontal1,dt_aftershock_horizontal1,npt_aftershock_horizontal1,rsn_mainshock_horizontal1,rsn_aftershock_horizontal1,mainshock_aferchock_horizontal2,horizontal_2_filename,dt_sequence_horizontal2,npt_sequence_horizontal2,dt_mainshock_horizontal2,npt_mainshock_horizontal2,dt_aftershock_horizontal2,npt_aftershock_horizontal2,rsn_mainshock_horizontal2,rsn_aftershock_horizontal2
52,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\620.0_3704.0_01.g3,620.0_3704.0_01.g3,0.005,11602,0.005,6288,0.005,4514,620.0,3704.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\620.0_3704.0_02.g3,620.0_3704.0_02.g3,0.005,11602,0.005,6287,0.005,4515,620.0,3704.0
53,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\622.0_3707.0_01.g3,622.0_3707.0_01.g3,0.005,13276,0.005,7047,0.005,5429,622.0,3707.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\622.0_3707.0_02.g3,622.0_3707.0_02.g3,0.005,13270,0.005,7045,0.005,5425,622.0,3707.0
54,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\625.0_710.0_01.g3,625.0_710.0_01.g3,0.005,13198,0.005,7999,0.005,4399,625.0,710.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\625.0_710.0_02.g3,625.0_710.0_02.g3,0.005,13198,0.005,7999,0.005,4399,625.0,710.0
55,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\626.0_711.0_01.g3,626.0_711.0_01.g3,0.005,13198,0.005,7999,0.005,4399,626.0,711.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\626.0_711.0_02.g3,626.0_711.0_02.g3,0.005,13198,0.005,7999,0.005,4399,626.0,711.0
56,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\627.0_712.0_01.g3,627.0_712.0_01.g3,0.005,13198,0.005,7999,0.005,4399,627.0,712.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\627.0_712.0_02.g3,627.0_712.0_02.g3,0.005,13198,0.005,7999,0.005,4399,627.0,712.0
57,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\627.0_1706.0_01.g3,627.0_1706.0_01.g3,0.005,16799,0.005,7999,0.01,4000,627.0,1706.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\627.0_1706.0_02.g3,627.0_1706.0_02.g3,0.005,16799,0.005,7999,0.01,4000,627.0,1706.0
58,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\629.0_1707.0_01.g3,629.0_1707.0_01.g3,0.005,12798,0.005,7998,0.02,1000,629.0,1707.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\629.0_1707.0_02.g3,629.0_1707.0_02.g3,0.005,12799,0.005,7999,0.02,1000,629.0,1707.0
59,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\632.0_3709.0_01.g3,632.0_3709.0_01.g3,0.005,7697,0.005,3980,0.005,2917,632.0,3709.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\632.0_3709.0_02.g3,632.0_3709.0_02.g3,0.005,7701,0.005,3981,0.005,2920,632.0,3709.0
60,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\633.0_3710.0_01.g3,633.0_3710.0_01.g3,0.005,11808,0.005,6319,0.005,4689,633.0,3710.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\633.0_3710.0_02.g3,633.0_3710.0_02.g3,0.005,11808,0.005,6317,0.005,4691,633.0,3710.0
61,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\634.0_3711.0_01.g3,634.0_3711.0_01.g3,0.005,12249,0.005,6403,0.005,5046,634.0,3711.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\634.0_3711.0_02.g3,634.0_3711.0_02.g3,0.005,12259,0.005,6410,0.005,5049,634.0,3711.0
62,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\635.0_713.0_01.g3,635.0_713.0_01.g3,0.005,16797,0.005,7998,0.005,7999,635.0,713.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\635.0_713.0_02.g3,635.0_713.0_02.g3,0.005,16798,0.005,7999,0.005,7999,635.0,713.0
63,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\635.0_1710.0_01.g3,635.0_1710.0_01.g3,0.005,12798,0.005,7998,0.02,1000,635.0,1710.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\635.0_1710.0_02.g3,635.0_1710.0_02.g3,0.005,12799,0.005,7999,0.02,1000,635.0,1710.0
